company,SUM(total_laid_off)
Patreon,151
6sense,150
Celsius,150
"Chipper Cash",150
Convene,150
Cruise,150
Curology,150
Domestika,150
Fraazo,150
HealthifyMe,150
Instructure,150
Kavak,150
Lido,150
Lummo,150
"Next Insurance",150
PayU,150
Pinterest,150
Pleo,150
Relativity,150
Salsify,150
"Share Now",150
"Simple Feast",150
Sinch,150
Sprinklr,150
"Uber Freight",150
"VerSe Innovation",150
Weee!,150
Zwift,150
Healthcare.com,149
Knotel,147
Leafly,147
Minted,147
Chrono24,145
IronNet,145
"On Deck",145
Zilingo,144
Chargebee,142
Exotel,142
WanderJaunt,141
Bizongo,140
Bonterra,140
"Callisto Media",140
ChowNow,140
ContaAzul,140
DraftKings,140
Foodpanda,140
GoodRx,140
"Impossible Foods copy",140
LEAD,140
Pagaya,140
Reali,140
Yojak,140
Packable,138
SSense,138
Benevity,137
Bluprint,137
Omie,136
Andela,135
"Dapper Labs",134
Ula,134
TouchBistro,131
Amount,130
Blueground,130
CarGurus,130
GitLab,130
"Guardant Health",130
ID.me,130
Liftoff,130
Outreach,130
Quanterix,130
SirionLabs,130
Takl,130
Validity,130
Wonder,130
Evernote,129
Veriff,129
Mindstrong,127
Bark,126
Gusto,126
PeerStreet,126
EasyPost,125
Malwarebytes,125
"NCC Group",125
Westwing,125
Tipalti,123
TripleLift,123
Cyren,121
BioMarin,120
Breather,120
"Captain Fresh",120
"Deliveroo Australia",120
Fabric,120
"Greenhouse Software",120
Khoros,120
RigUp,120
ScaleFocus,120
SimilarWeb,120
SmartNews,120
Soluto,120
"Till Payments",120
Trustly,120
UpGrad,120
Miro,119
"Nomad Health",119
Knock,115
Skit.ai,115
Homepoint,113
Genesis,112
SoFi,112
Pier,111
"Virgin Hyperloop",111
Carousell,110
Landing,110
Namely,110
NYDIG,110
"Sidecar Health",110
Varonis,110
Curative,109
"Ethos Life",108
Turo,108
Synthego,105
Greenlight,104
"Komodo Health",101
SummerBio,101
"10X Genomics",100
"Adaptive Biotechnologies",100
Adobe,100
Akulaku,100
Babylon,100
"Berlin Brands Group",100
"Branch Metrics",100
"Bright Money",100
Bryter,100
Bullhorn,100
"Cashfree Payments",100
Catch.com.au,100
Checkmarx,100
Checkout.com,100
Circ,100
Cognyte,100
DealShare,100
eGym,100
"EMX Digital",100
Envato,100
eToro,100
F5,100
"Fifth Season",100
"Flatiron School",100
ForeScout,100
Gem,100
Getaround,100
Getir,100
Highspot,100
HP,100
Hyperscience,100
Jumio,100
Jumpcloud,100
Lemon,100
Lendi,100
"Liv Up",100
Lyric,100
"Mobile Premier League",100
nCino,100
NSO,100
Pacaso,100
PatientPop,100
Polygon,100
Productboard,100
Remote,100
"Rock Content",100
Ruggable,100
Saks.com,100
Snappy,100
Starry,100
Storytel,100
SumUp,100
Synopsys,100
Taboola,100
Traveloka,100
Tul,100
Udayy,100
Veev,100
Wefox,100
Zak,100
Zipcar,100
"The Predictive Index",99
Willow,99
Colossus,97
"Pavilion Data",96
54gene,95
BlackLine,95
"Culture Trip",95
Edgio,95
WHOOP,95
GoFundMe,94
"Newfront Insurance",94
"PACT Pharma",94
PetLove,94
"Back Market",93
BitTorrent,92
Scoop,92
Skillz,91
Wheel,91
ApplyBoard,90
Calm,90
Convoy,90
Domo,90
Freshworks,90
GetYourGuide,90
GumGum,90
Industrious,90
Kueski,90
Matterport,90
Mural,90
Picsart,90
ScaleFactor,90
"Science 37",90
Seegrid,90
Sunday,90
"The Zebra",90
Workato,90
"Aqua Security",89
"Protocol Labs",89
Unison,89
BloomTech,88
Brighte,88
"Buy.com / Rakuten",87
Foodsby,87
Ibotta,87
Outside,87
Quandoo,87
Zenefits,87
Lever,86
Mejuri,86
Crunchyroll,85
"Funding Circle",85
Niantic,85
Primer,85
Rev.com,85
Smartsheet,85
Zego,85
Ejento,84
Faire,84
"Lambda School",84
"Pear Therapeutics",84
Recharge,84
Sendy,84
Fluke,83
Openpay,83
"Career Karma",82
Remedy,82
Care.com,81
AlayaCare,80
"App Annie",80
Aqgromalin,80
Bittrex,80
Buenbit,80
CoinDCX,80
FabHotels,80
Gong,80
Hologram,80
Indigo,80
LeafLink,80
Lightricks,80
Lime,80
Nylas,80
Otonomo,80
Pagarbook,80
Quartz,80
Qumulo,80
RingCentral,80
"Sandbox VR",80
Sisense,80
Sketch,80
Unbabel,80
Verbit,80
"VinFast US",80
Ada,78
"Built In",78
Casper,78
Mogo,78
"Pulse Secure",78
Rangle,78
Spin,78
BounceX,77
Astronomer,76
Lokalise,76
Uniphore,76
99,75
"Arrive Logistics",75
BitMEX,75
DISCO,75
Gramophone,75
Kaltura,75
Metigy,75
"O'Reilly Media",75
Palantir,75
Sami,75
ThirdLove,75
Thriver,75
Varo,75
Zeitgold,75
Gokada,74
Outschool,74
Heycar,73
Juni,72
"Quanergy Systems",72
Properly,71
1stdibs,70
Acast,70
Aura,70
Banxa,70
BitTitan,70
Boozt,70
Bungalow,70
Carwow,70
Goodfood,70
Hibob,70
"Hippo Insurance",70
Involves,70
KoinWorks,70
Kyruus,70
Moss,70
"Oscar Health",70
PickYourTrail,70
Quantcast,70
StudySmarter,70
Virtudent,70
Yotpo,70
HashiCorp,69
"The Iconic",69
Ajaib,67
"Redesign Health",67
Balto,65
BeyondMinds,65
Chope,65
Clari,65
Curve,65
"Funding Societies",65
InfluxData,65
Mixpanel,65
Playdots,65
"Repertoire Immune Medicines",65
uShip,65
"Virta Health",65
Checkr,64
Mapbox,64
Sigfox,64
Project44,63
SynapseFI,63
UserTesting,63
"Warby Parker",63
"CS Disco",62
divvyDOSE,62
"Element AI",62
Numbrs,62
OrCam,62
"Bossa Nova",61
Afterverse,60
Away,60
BlueStacks,60
"C6 Bank",60
CleverTap,60
ClickUp,60
"Daily Harvest",60
Deputy,60
Elementor,60
Fiverr,60
Flywire,60
Forto,60
FourKites,60
Grin,60
Harappa,60
Lunchbox,60
MadeiraMadeira,60
"Me Poupe",60
Melio,60
Nate,60
Optimizely,60
"Parallel Wireless",60
Parler,60
Protocol,60
Quicko,60
Raken,60
Revolut,60
Sanar,60
Shippo,60
TechTarget,60
"Tilting Point",60
VerticalScope,60
WazirX,60
Workmotion,60
Bonsai,59
Drift,59
Exodus,59
Medallia,59
Pitch,59
Rasa,59
Stord,59
Canoo,58
"Chili Piper",58
Envoy,58
Hash,58
"Divergent 3D",57
Introhive,57
Loom,57
Rhino,57
Rubrik,57
Splyt,57
"The Wing",56
Vesta,56
"Wave Sports and Entertainment",56
"Definitive Healthcare",55
GoBolt,55
"Pomelo Fashion",55
Tufin,55
Udacity,55
"Urban Sports Club",55
"When I Work",55
Actifio,54
"Collective Health",54
Marketforce,54
"Tempo Automation",54
"The Mom Project",54
MediaMath,53
UalÃ¡,53
"Bamboo Health",52
Lemonade,52
OutboundEngine,52
Showpad,52
Cardlytics,51
Highsnobiety,51
Mercos,51
RealSelf,51
Turnitin,51
Acorns,50
"Ada Health",50
"Ambev Tech",50
"American Robotics",50
Breathe,50
Dazn,50
Dutchie,50
Earnin,50
Eucalyptus,50
"Group Nine Media",50
Headspace,50
Iflix,50
"Imperfect Foods",50
"Impossible Foods",50
Inmobi,50
"iPrice Group",50
"Iron Ox",50
Jimdo,50
JOKR,50
Kontist,50
Lastline,50
Linktree,50
LiveTiles,50
Lyst,50
"Minute Media",50
"Pocket Aces",50
Puppet,50
Q4,50
"Remote Year",50
Replicated,50
"Rubicon Project",50
Segment,50
SkySlope,50
Tiendanube,50
Vezeeta,50
"Wahoo Fitness",50
Warren,50
Wonderschool,50
Zoopla,50
Equitybee,49
Button,48
Netlify,48
Shogun,48
"Alto Pharmacy",47
Bench,47
Ecobee,47
HuffPo,47
Karat,47
Polly,47
Trybe,47
Unbounce,47
"Akili Labs",46
Payfactors,46
"Riot Games",46
"The Athletic",46
Viant,46
Wonolo,46
Acko,45
Freetrade,45
Hubba,45
Intapp,45
Laybuy,45
Mainstreet,45
Namogoo,45
Nuri,45
Peek,45
Pendo,45
Teachmint,45
Viber,45
VSCO,45
Workstream,45
Zumper,45
Ahead,44
Chainalysis,44
"Luxury Presence",44
Passport,44
Redox,44
Tomo,44
"Bustle Digital Group",43
Elinvar,43
Inscripta,43
Postscript,43
"Shelf Engine",43
TheSkimm,43
WalkMe,43
"Mode Analytics",42
"Unstoppable Domains",42
Bestow,41
Embark,41
Food52,41
Peerspace,41
Treehouse,41
Absci,40
Adwerx,40
Astra,40
BharatAgri,40
BitSight,40
"Brave Care",40
Clinc,40
Cloudinary,40
Community,40
Daloopa,40
"Divvy Homes",40
"Eat Just",40
"Eden / Managed By Q",40
Eruditus,40
Etermax,40
EVgo,40
FreshDirect,40
Grover,40
Hodlnaut,40
Ideoclick,40
InDebted,40
Innovid,40
Intrinsic,40
KiwiCo,40
Koo,40
Labster,40
"Lighter Capital",40
Lightico,40
Moglix,40
Mux,40
Navi,40
"Oh My Green",40
"Oye Rickshaw",40
Parsable,40
PartnerStack,40
PaySense,40
PharmEasy,40
Relevel,40
Shuttl,40
Siteimprove,40
Snowplow,40
SpotHero,40
"Stack Overflow",40
"Stash Financial",40
StreamElements,40
StrongDM,40
"The Grommet",40
"TikTok India",40
TrueLayer,40
Vial,40
Wistia,40
Builder,39
Jobcase,39
Kiavi,39
Articulate,38
Freshbooks,38
"Immersive Labs",38
M1,38
Outbrain,38
"The Guild",38
Capitolis,37
Flockjay,37
Springbig,37
"Ada Support",36
"Culture Amp",36
Hireology,36
Labelbox,36
Plum,36
Anodot,35
Copper,35
"Dynamic Signal",35
Frontdesk,35
Jetty,35
Kabam,35
Linkfire,35
Monese,35
